"","plot","variable","value","date"
"404",5,"def",-0.323071300983429,2015-08-01
"405",5,"def",0.234649896621704,2015-09-01
"406",5,"def",-1.8778190612793,2015-10-01
"407",5,"def",-0.720861315727234,2015-11-01
"408",5,"def",-0.708138883113861,2015-12-01
"409",5,"def",-0.674490690231323,2016-01-01
"410",5,"def",-0.932109236717224,2016-02-01
"411",5,"def",0.310849040746689,2016-03-01
"412",5,"def",-0.90980064868927,2016-04-01
"413",5,"def",-0.227149292826653,2016-05-01
"414",5,"def",0.634531259536743,2016-06-01
"415",5,"def",1.38001108169556,2016-07-01
"416",5,"def",0.905420660972595,2016-08-01
"417",5,"def",-0.725149750709534,2016-09-01
"418",5,"def",-0.114264249801636,2016-10-01
"419",5,"def",0.642764508724213,2016-11-01
"420",5,"def",-0.708138942718506,2016-12-01
"421",6,"def",0.202091872692108,2010-01-01
"422",6,"def",0.579519391059875,2010-02-01
"423",6,"def",-0.0339142121374607,2010-03-01
"424",6,"def",0.0553760342299938,2010-04-01
"425",6,"def",-0.943794727325439,2010-05-01
"426",6,"def",-0.484517157077789,2010-06-01
"427",6,"def",0.373690009117126,2010-07-01
"428",6,"def",-1.01010119915009,2010-08-01
"429",6,"def",-0.120511345565319,2010-09-01
"430",6,"def",-1.65489935874939,2010-10-01
"431",6,"def",-0.0933453962206841,2010-11-01
"432",6,"def",-0.687389254570007,2010-12-01
"433",6,"def",-0.674490809440613,2011-01-01
"434",6,"def",-0.492552876472473,2011-02-01
"435",6,"def",-1.26948952674866,2011-03-01
"436",6,"def",-1.34715557098389,2011-04-01
"437",6,"def",-1.76637494564056,2011-05-01
"438",6,"def",-1.07815515995026,2011-06-01
"439",6,"def",-0.00596104422584176,2011-07-01
"440",6,"def",0.24454353749752,2011-08-01
"441",6,"def",0.993895292282104,2011-09-01
"442",6,"def",-0.678097009658813,2011-10-01
"443",6,"def",0.324989974498749,2011-11-01
"444",6,"def",0.991272926330566,2011-12-01
"445",6,"def",3,2012-01-01
"446",6,"def",1.24617183208466,2012-02-01
"447",6,"def",0.754481792449951,2012-03-01
"448",6,"def",0.537064492702484,2012-04-01
"449",6,"def",1.21923804283142,2012-05-01
"450",6,"def",0.622268438339233,2012-06-01
"451",6,"def",0.779366135597229,2012-07-01
"452",6,"def",1.66296792030334,2012-08-01
"453",6,"def",0.961910605430603,2012-09-01
"454",6,"def",0.418910950422287,2012-10-01
"455",6,"def",1.0653578042984,2012-11-01
"456",6,"def",-0.687389254570007,2012-12-01
"457",6,"def",-0.674490571022034,2013-01-01
"458",6,"def",-0.235353291034698,2013-02-01
"459",6,"def",0.630106508731842,2013-03-01
"460",6,"def",0.675241589546204,2013-04-01
"461",6,"def",0.292673677206039,2013-05-01
"462",6,"def",0.468508780002594,2013-06-01
"463",6,"def",0.479417264461517,2013-07-01
"464",6,"def",0.458051949739456,2013-08-01
"465",6,"def",-2.23579812049866,2013-09-01
"466",6,"def",-0.82306170463562,2013-10-01
"467",6,"def",0.726015269756317,2013-11-01
"468",6,"def",-0.388550847768784,2013-12-01
"469",6,"def",3,2014-01-01
"470",6,"def",0.297457486391068,2014-02-01
"471",6,"def",-0.141474008560181,2014-03-01
"472",6,"def",0.553146958351135,2014-04-01
"473",6,"def",0.895655810832977,2014-05-01
"474",6,"def",0.302557557821274,2014-06-01
"475",6,"def",0.000438624381786212,2014-07-01
"476",6,"def",-3,2014-08-01
"477",6,"def",-1.52013659477234,2014-09-01
"478",6,"def",1.04614114761353,2014-10-01
"479",6,"def",-1.00549268722534,2014-11-01
"480",6,"def",-0.687389254570007,2014-12-01
"481",6,"def",3,2015-01-01
"482",6,"def",1.11611878871918,2015-02-01
"483",6,"def",1.66898477077484,2015-03-01
"484",6,"def",0.310318171977997,2015-04-01
"485",6,"def",-1.79441809654236,2015-05-01
"486",6,"def",0.975008726119995,2015-06-01
"487",6,"def",-2.55718421936035,2015-07-01
"488",6,"def",-0.29602637887001,2015-08-01
"489",6,"def",-0.0878428965806961,2015-09-01
"490",6,"def",-2.75889492034912,2015-10-01
"491",6,"def",-1.18304407596588,2015-11-01
"492",6,"def",-0.687389254570007,2015-12-01
"493",6,"def",-0.674490809440613,2016-01-01
"494",6,"def",0.371198385953903,2016-02-01
"495",6,"def",0.23380833864212,2016-03-01
"496",6,"def",-0.0740056335926056,2016-04-01
"497",6,"def",-0.395386874675751,2016-05-01
"498",6,"def",0.744001984596252,2016-06-01
"499",6,"def",0.611458718776703,2016-07-01
"500",6,"def",1.08905482292175,2016-08-01
"501",6,"def",0.238469943404198,2016-09-01
"502",6,"def",-0.0967995226383209,2016-10-01
"503",6,"def",1.15437698364258,2016-11-01
"504",6,"def",-0.687389254570007,2016-12-01
"505",7,"def",NA,2010-01-01
"506",7,"def",3,2010-02-01
"507",7,"def",0.97273200750351,2010-03-01
"508",7,"def",0.120487228035927,2010-04-01
"509",7,"def",-1.13344383239746,2010-05-01
"510",7,"def",-0.325951337814331,2010-06-01
"511",7,"def",0.63495922088623,2010-07-01
"512",7,"def",-0.125164464116096,2010-08-01
"513",7,"def",-0.0138982087373734,2010-09-01
"514",7,"def",-1.26908326148987,2010-10-01
"515",7,"def",-0.674490749835968,2010-11-01
"516",7,"def",-0.674490749835968,2010-12-01
"517",7,"def",NA,2011-01-01
"518",7,"def",3,2011-02-01
"519",7,"def",-0.533498585224152,2011-03-01
"520",7,"def",-1.11677515506744,2011-04-01
"521",7,"def",-2.02626299858093,2011-05-01
"522",7,"def",-0.940178453922272,2011-06-01
"523",7,"def",-0.0260724499821663,2011-07-01
"524",7,"def",0.430094391107559,2011-08-01
"525",7,"def",0.768840909004211,2011-09-01
"526",7,"def",-0.674925208091736,2011-10-01
"527",7,"def",1.84361553192139,2011-11-01
"528",7,"def",3,2011-12-01
"529",7,"def",NA,2012-01-01
"530",7,"def",3,2012-02-01
"531",7,"def",1.03954064846039,2012-03-01
"532",7,"def",1.16291522979736,2012-04-01
"533",7,"def",1.86267101764679,2012-05-01
"534",7,"def",0.642389118671417,2012-06-01
"535",7,"def",0.576611995697021,2012-07-01
"536",7,"def",0.72077488899231,2012-08-01
"537",7,"def",1.20691800117493,2012-09-01
"538",7,"def",0.768299400806427,2012-10-01
"539",7,"def",2.74276351928711,2012-11-01
"540",7,"def",-0.0648548826575279,2012-12-01
"541",7,"def",NA,2013-01-01
"542",7,"def",-0.674490749835968,2013-02-01
"543",7,"def",0.132948383688927,2013-03-01
"544",7,"def",0.912609577178955,2013-04-01
"545",7,"def",0.764301657676697,2013-05-01
"546",7,"def",0.600495278835297,2013-06-01
"547",7,"def",0.468722194433212,2013-07-01
"548",7,"def",0.142791301012039,2013-08-01
"549",7,"def",-2.7983250617981,2013-09-01
"550",7,"def",-0.402764201164246,2013-10-01
"551",7,"def",2.5980851650238,2013-11-01
"552",7,"def",-0.674490749835968,2013-12-01
"553",7,"def",NA,2014-01-01
"554",7,"def",3,2014-02-01
"555",7,"def",0.550169110298157,2014-03-01
"556",7,"def",0.979953348636627,2014-04-01
"557",7,"def",1.26273739337921,2014-05-01
"558",7,"def",0.315769135951996,2014-06-01
"559",7,"def",0.148214474320412,2014-07-01
"560",7,"def",-3,2014-08-01
"561",7,"def",-1.31880354881287,2014-09-01
"562",7,"def",1.46934974193573,2014-10-01
"563",7,"def",-0.674490749835968,2014-11-01
"564",7,"def",-0.674490749835968,2014-12-01
"565",7,"def",NA,2015-01-01
"566",7,"def",3,2015-02-01
"567",7,"def",2.16219043731689,2015-03-01
"568",7,"def",0.612799346446991,2015-04-01
"569",7,"def",-1.81260657310486,2015-05-01
"570",7,"def",0.692120015621185,2015-06-01
"571",7,"def",-2.25766015052795,2015-07-01
"572",7,"def",-0.492137640714645,2015-08-01
"573",7,"def",0.305521458387375,2015-09-01
"574",7,"def",-1.91195333003998,2015-10-01
"575",7,"def",-0.674490749835968,2015-11-01
"576",7,"def",-0.674490749835968,2015-12-01
"577",7,"def",NA,2016-01-01
"578",7,"def",-0.674490749835968,2016-02-01
"579",7,"def",-0.139120951294899,2016-03-01
"580",7,"def",-0.4867202937603,2016-04-01
"581",7,"def",0.288361698389053,2016-05-01
"582",7,"def",0.646645069122314,2016-06-01
"583",7,"def",0.81295382976532,2016-07-01
"584",7,"def",1.19272673130035,2016-08-01
"585",7,"def",-0.231503561139107,2016-09-01
"586",7,"def",-1.09537136554718,2016-10-01
"587",7,"def",2.02801084518433,2016-11-01
"588",7,"def",-0.674490749835968,2016-12-01
"589",8,"def",3,2010-01-01
"590",8,"def",0.766421735286713,2010-02-01
"591",8,"def",0.432514250278473,2010-03-01
"592",8,"def",-0.497732937335968,2010-04-01
"593",8,"def",-1.38574242591858,2010-05-01
"594",8,"def",0.0749014317989349,2010-06-01
"595",8,"def",0.456282377243042,2010-07-01
"596",8,"def",-0.294277518987656,2010-08-01
"597",8,"def",0.0531368590891361,2010-09-01
"598",8,"def",-3,2010-10-01
"599",8,"def",-0.514287233352661,2010-11-01
"600",8,"def",-0.674490749835968,2010-12-01
"601",8,"def",3,2011-01-01
"602",8,"def",0.34291335940361,2011-02-01
"603",8,"def",-0.964844524860382,2011-03-01
"604",8,"def",-1.5503146648407,2011-04-01
"605",8,"def",-1.5140882730484,2011-05-01
"606",8,"def",-0.487371385097504,2011-06-01
