Site_number,Transect,Site.type,Bromus_TN_pct,Bromus_TC_pct,Bromus_CN,Other_TN_pct,Other_TC_pct,Other_CN,Poa_TN_pct,Poa_TC_pct,Poa_CN,Litter_TN_pct,Litter_TC_pct,Litter_CN,SOIL_SurSo4_kg_ha,SOIL_Ca_kg_ha,SOIL_Mg_kg_ha,SOIL_OM_pct,SOIL_TN_pct,SOIL_CN,Bare,Litter,Crypto,AIG,AIF,PNF,PNG,ANF,Shrubs,Rock,Year,ppt_2yrtot,ppt_2yr,ppt_1yr,tmax,tmin,vpdmx,shrub_b,soil_n_kg_ha,soil_c_kg_ha,inv,NO3_kg_ha,NH4_kg_ha,total_mineral_n
28,A,Cheatgrass Dieoff,1.4,40.84,29.23,3.21,36.99,11.52,NA,NA,NA,0.8,37.55,47.12163,-0.11212239277669862,5602.33800148,1332.26330523,1.26,0.07,18,52.7,45.7,0,2.01,0.95,0,1.72,0,0,0.03,2013,240.820001602173,144.090000629425,140.860001087189,21.6399993896484,-13.8299999237061,22.6100006103516,Grass,983.1253712000002,17696.2566816,0.016112211041148128,10.1045454545455,5.94371818181818,16.04826363636368
28,B,Cheatgrass Dieoff,1.41,41.44,29.31,3.07,39.52,12.89,NA,NA,NA,0.76,40.58,53.70861,-0.37567561954979645,5595.689837934,1355.604277678,1.35,0.09,15,49.8,47.1,0,2.33,3.3,0,1.32,0.05,0,0.02,2013,240.820001602173,144.090000629425,140.860001087189,21.6399993896484,-13.8299999237061,22.6100006103516,Grass,1264.0183344,18960.275016000003,0.32361454637602793,6.73636363636364,7.08777727272727,13.82414090909091
28,C,Cheatgrass Dieoff,1.38,39.76,28.86,2.7,41.9,15.5,NA,NA,NA,0.69,41.52,60.32371,-0.8403860794783311,5566.44240835,1414.28045185,1.15,0.07,16.4285714285714,43.2,54.2,0,4,1.75,0,0.61,0,0,0.01,2013,240.820001602173,144.090000629425,140.860001087189,21.6399993896484,-13.8299999237061,22.6100006103516,Grass,983.1253712000002,16151.345384,0.7049975862527124,6.73636363636364,5.18250909090909,11.91887272727273
1,A,Intact Sagebrush,0.77,42.81,55.5974026,1.07,41.93,39.18691589,0.49,44.09,89.97959184,1.43,27.27,19.06993007,-0.040050824614865074,3167.36,801.92,1.24,0.09,13.77777778,39.90909091,55.45454545,0.07158351411531096,7.431818182,0,0,4.204545455,0.090909091,25.1,0.863636364,2016,546.702997207642,294.57999920845,357.172996282577,19.8859996795654,-5.92000007629395,17.9650001525879,Shrub,1264.0183344,17415.3637184,-0.3149394411734394,0.3,0,0.3
1,B,Intact Sagebrush,0.52,43.49,83.63461538,0.81,42.56,52.54320988,0.56,44.09,78.73214286,1.3,31.32,24.09230769,-0.2833831462587806,3432.8,820.96,1.44,0.1,14.4,34.86363636,57.04545455,0.19088937097416253,7.840909091,0.022727273,0,4.954545455,0.045454545,21.6,1.227272727,2016,546.702997207642,294.57999920845,357.172996282577,19.8859996795654,-5.92000007629395,17.9650001525879,Shrub,1404.4648160000004,20224.2933504,-0.31949112209592867,0.32,0,0.32
1,C,Intact Sagebrush,0.64,43.27,67.609375,0.7,41.38,59.11428571,0.49,43.63,89.04081633,0.7,41.19,58.84285714,0.3837815290466024,3433.92,782.88,1.37,0.09,15.22222222,32.13636364,62.77272727,0.06182212580516748,10.77272727,0.022727273,0.045454545,4.272727273,0,22.2,1.045454545,2016,546.702997207642,294.57999920845,357.172996282577,19.8859996795654,-5.92000007629395,17.9650001525879,Shrub,1264.0183344,19241.167979200003,0.3489643020182201,0.34,0,0.34
2,A,Intact Sagebrush,0.86,42.08,48.93023256,NA,NA,NA,0.55,44.24,80.43636364,1.39,28.39,20.42446043,-0.2151244316192316,3220,819.84,1.67,0.11,15.18181818,71.13636364,25.77272727,0.015184381773358867,1.090909091,0.022727273,0,3.977272727,0.022727273,25.45,1.181818182,2016,715.837003707886,352.010004520416,475.893000602722,16.9939994812012,-4.80999994277954,14.33899974823,Shrub,1544.9112976000001,23454.5624272,-1.8681305433277622,0.36,0,0.36
2,B,Intact Sagebrush,0.59,42.11,71.37288136,NA,NA,NA,0.49,43.89,89.57142857,1.15,25.22,21.93043478,-0.6635184984982775,2976.96,796.32,1.35,0.1,13.5,62.68181818,34.68181818,0.009761388310143468,2.204545455,0,0,4.636363636,0.022727273,21.22,0.909090909,2016,715.837003707886,352.010004520416,475.893000602722,16.9939994812012,-4.80999994277954,14.33899974823,Shrub,1404.4648160000004,18960.275016000003,-1.4089683561367714,0.82,0,0.82
2,C,Intact Sagebrush,0.62,42.93,69.24193548,0.62,40.9,65.96774194,0.49,43.85,89.48979592,1.1,27.72,25.2,-0.6149662746960878,3293.92,908.32,1.45,0.1,14.5,65.61904762,30.42857143,0.0227765726600383,1.295454545,0.022727273,0,5.590909091,0.022727273,27.55,1,2016,715.837003707886,352.010004520416,475.893000602722,16.9939994812012,-4.80999994277954,14.33899974823,Shrub,1404.4648160000004,20364.739832000003,-1.9436403992781857,0.34,0,0.34
3,A,Intact Sagebrush,0.82,43.21,52.69512195,1.18,40.13,34.00847458,0.55,44.7,81.27272727,1.34,36.24,27.04477612,-0.5404243310939024,3716.16,869.12,1.66,0.11,15.09090909,67.22727273,24,0.06941431673956927,0.840909091,0.227272727,0,6.25,0.136363636,15.85,1.5,2016,466.001001358032,223.120000362396,344.811003684998,20.5149993896484,-5.71000003814697,18.7180004119873,Shrub,1544.9112976000001,23314.115945600002,-1.9147735861654407,0.38,0,0.38
