"","plot","date","variable","value"
"4528",14,201604,"tmin",1.47000002861023
"4529",14,201605,"tmin",4.27699995040894
"4530",14,201606,"tmin",8.87100028991699
"4531",14,201607,"tmin",11.3400001525879
"4532",14,201608,"tmin",10.8240003585815
"4533",14,201609,"tmin",5.22399997711182
"4534",14,201610,"tmin",1.88100004196167
"4535",14,201611,"tmin",-2.47199988365173
"4536",14,201612,"tmin",-10.1730003356934
"4537",16,201101,"tmin",-5.28000020980835
"4538",16,201102,"tmin",-5.07999992370605
"4539",16,201103,"tmin",-1.25999999046326
"4540",16,201104,"tmin",-1.0900000333786
"4541",16,201105,"tmin",2.64000010490417
"4542",16,201106,"tmin",7.59000015258789
"4543",16,201107,"tmin",13.4799995422363
"4544",16,201108,"tmin",14.3199996948242
"4545",16,201109,"tmin",10.8599996566772
"4546",16,201110,"tmin",4.32000017166138
"4547",16,201111,"tmin",-2.73000001907349
"4548",16,201112,"tmin",-6.51000022888184
"4549",16,201201,"tmin",-4.69999980926514
"4550",16,201202,"tmin",-5.03000020980835
"4551",16,201203,"tmin",-1.25
"4552",16,201204,"tmin",2.09999990463257
"4553",16,201205,"tmin",4.90999984741211
"4554",16,201206,"tmin",8.65999984741211
"4555",16,201207,"tmin",15.6899995803833
"4556",16,201208,"tmin",15.8500003814697
"4557",16,201209,"tmin",11.1700000762939
"4558",16,201210,"tmin",4.03999996185303
"4559",16,201211,"tmin",0.400000005960464
"4560",16,201212,"tmin",-4.61999988555908
"4561",16,201301,"tmin",-10.1800003051758
"4562",16,201302,"tmin",-4.6100001335144
"4563",16,201303,"tmin",-0.800000011920929
"4564",16,201304,"tmin",0.620000004768372
"4565",16,201305,"tmin",5.1100001335144
"4566",16,201306,"tmin",10.0200004577637
"4567",16,201307,"tmin",16.9300003051758
"4568",16,201308,"tmin",14.8000001907349
"4569",16,201309,"tmin",9.27999973297119
"4570",16,201310,"tmin",1.74000000953674
"4571",16,201311,"tmin",-0.419999986886978
"4572",16,201312,"tmin",-8.27999973297119
"4573",16,201401,"tmin",-2.88000011444092
"4574",16,201402,"tmin",-1.48000001907349
"4575",16,201403,"tmin",-0.569999992847443
"4576",16,201404,"tmin",1.44000005722046
"4577",16,201405,"tmin",5.71999979019165
"4578",16,201406,"tmin",9.85000038146973
"4579",16,201407,"tmin",16.9599990844727
"4580",16,201408,"tmin",13.9799995422363
"4581",16,201409,"tmin",10.7200002670288
"4582",16,201410,"tmin",5.53000020980835
"4583",16,201411,"tmin",-0.660000026226044
"4584",16,201412,"tmin",-1.87999999523163
"4585",16,201501,"tmin",-2.17000007629395
"4586",16,201502,"tmin",0.25
"4587",16,201503,"tmin",1.5
"4588",16,201504,"tmin",0.660000026226044
"4589",16,201505,"tmin",6.44000005722046
"4590",16,201506,"tmin",13.5600004196167
"4591",16,201507,"tmin",14.1599998474121
"4592",16,201508,"tmin",15.0200004577637
"4593",16,201509,"tmin",10.5200004577637
"4594",16,201510,"tmin",7.71999979019165
"4595",16,201511,"tmin",-2.90000009536743
"4596",16,201512,"tmin",-4.82999992370605
